company_name,contact_and_address,phone,city,solar_priority
BUZY B INTERNATIONAL BUSINESS SOLUTIONS,"MS.NASHITA ASIF PLOT # 24,OFF.# 15,2 ND FLOOR,EXECUTIVE CENTRE, I-8 MARKAZ, ISLAMABAD",051-4861359,Islamabad,Medium
AMANAT & SONS ENTERPRISES (PVT) LTD,"HAJI AMANAT KHAN AMANAT MARKET, P.O. CHARAH, ISLAMABAD",051-2207163,Islamabad,Low
EXTREME ENGINEERING SYSTEMS (PVT) LTD,"MR.RAIHAN AHMAD 655, STREET # 41, E-11/3, ISLAMABAD",051-2222198,Islamabad,Low
XPLOR ENTERPRISES (PVT) LTD,"SYED ALI S-29, SAFA GOLD MALL, F-7 MARKAZ, JINNAH SUPER MARKET, ISLAMABAD",051-2652616,Islamabad,Medium
DETCO PAKISTAN (PVT) LTD,"MR.MAHRAM HUSSAIN ASIF 18-U,TWIN CITY COMPLEX, NEAR FAIZ-UL-ISLAM, FAIZABAD, ISLAMABAD",051-4575765,Islamabad,Low
EMERGING ENERGY SYSTEMS (PVT) LTD,"KAZI ZULKADER SIDDIQUI CHAUDHRY PLAZA,NEAR MR. CHIPS,OFF.2, JINNAH SUPER MKT.F-7 MARKAZ,ISLAMABAD",051-2652511,Islamabad,Medium
PAKISTAN ACCUMULATORS (PVT) LTD,"MR.HAROON MEHMOOD HOUSE NO.2, STREET # 63, F-8/4, ISLAMABAD",051-2852072,Islamabad,Low
AZNIA INTERNATIONAL (PVT) LTD,"MR.NADEEM MASIH GILL OFF.# 4, NAJEEB PLAZA,ALLAH WALI MARKET,ST.33 BLOCK 5, F-8/1,ISLAMABAD",051-2816142,Islamabad,Medium
"PACEM SOLUTIONS INTERNATIONAL PAKISTAN PVT. LTD.,","MR.HAMID MEHMOOD SHAH OFF.# 1,RAJA NASIR PLAZA, KIANI ROAD, BHARA KAU, ISLAMABAD",,Islamabad,Medium
ZKK TRADING COMPANY,"MR.ZAFAR KHAN KAKAR OFF.# 2, 1ST FLOOR, ISLAMABAD ARCADE, G-11 MARKAZ, ISLAMABAD",051-2363683,Islamabad,Medium
BEVERAGES PLUS (PVT) LTD,"MR.MUHAMMAD IMRAN KHAN PLOT D, CDA INDUSTRIAL TRIANGLE, KAHUTA ROAD, ISLAMABAD",051-4490490,Islamabad,High
HAIDRI BEVERAGES (PVT) LTD,"MR.MUHAMMAD IMRAN KHAN CDA INDUSTRIAL TRIANGLE, KAHUTA ROAD,ISLAMABAD",051-4490490,Islamabad,High
NF TRADERS,"MR.MUHAMMAD NADEEM AWAN PLOT # 247, STREET # 6, I-9/2, INDUSTRIAL AREA, ISLAMABAD",051-5554099,Islamabad,High
SAEED BOOK BANK,"MR.AHMAD SAEED AL-REHMAN CENTRE, F-7 MARKAZ, JINNAH SUPER MARKET,D-13, ISLAMABAD",051-2651656,Islamabad,Medium
RAAZ INDUSTRIES (PVT) LTD,"MR.MUHAMMAD ASGHAR KHAN PLOT # 1 & 2, GENERAL PROVISION WHOLESALE MARKET,I-11/3,ISLAMABAD",051-4434422,Islamabad,High
AL-REHMAN CARPETS,"MR.BISMILLAH KHAN SHOP # 8, 1ST FLOOR, BLOCK 8, SUPER MARKET F-6 MARKAZ, ISLAMABAD",051-2277072,Islamabad,Medium
ALHASAN SYSTEMS (PVT) LTD,"SYED MEHDI UL HASNAIN BOKHARI 205-C,2ND FLOOR,EVACUEE TRUST COMPLEX, F-5/1, ISLAMABAD",051-2820449,Islamabad,Low
AL-HUDA PUBLICATIONS (PVT) LTD,"MR.ATIF IQBAL 7-A.K, BROHI ROAD, H-11/4, ISLAMABAD",051-4866150,Islamabad,Low
,"MR.BOOKS MR.ABDULLAH YUSUF 9-B, SUPER MARKET, F-6 MARKAZ, ISLAMABAD",051-2870919,Islamabad,Medium
AFGHAN RUGS,"MR.MUHAMMAD RASOOL SHOP # 5, BLOCK 13-W, F-7 MARKAZ,JINNAH SUPER MARKET, ISLAMABAD",051-2651501,Islamabad,Medium
IDREES IMPEX,"MR.IDREES JAWED APPARTMENT # 10-C,BLOCK 9,F.G.E.H FOUNDATION, G-11/3, ISLAMABAD",051-2544734,Islamabad,Low
KASHAN CARPET,"MR.IRFAN AMAN BLOCK 8, SUPER MARKET, F-6, ISLAMABAD",051-2270776,Islamabad,Low
,"MALIK INTERIORS MR.SAGHIR AHMED MALIK 109-W, SARDAR BEGUM CHAMBER, BLUE AREA, ISLAMABAD",051-2828408,Islamabad,Medium
ORIENTAL CRAFT GALLERY,"MR.WAQAR AZEEM 241, STREET # 67, G-8/1, ISLAMABAD",051-2255508,Islamabad,Low
PAK TURK CARPETS,"MR.ABDUL GHAFOOR KHUDAYBIRDI HOUSE # 20-B, STREET 41, F-7/1, ISLAMABAD",051-2650451,Islamabad,Low
THREAD VIEW GALLERY,"MR.LAJPAT SHOP # 1B-1C,BLOCK # 8, SUPER MARKET,F-6,ISLAMABAD",051-2821869,Islamabad,Low
TURKMAN ORIENTAL CARPET,"MR.MUHAMMAD DAWOOD SHOP # 1,BLOCK-G,SCHOOL ROAD,SUPER MARKET,F-6 MARKAZ, ISLAMABAD",051-2875853,Islamabad,Medium
DEWAN CEMENT LTD,"MR.KHURSHEED ANWAR 58, MARGALLA ROAD, F-7/2, ISLAMABAD",051-2653001,Islamabad,Low
FUTURE DYNAMICS SERVICES (PVT) LTD,"MR.ABID KABIR CHEEMA PHA, FLATS 7, BLOCK # 1, G-8/4, ISLAMABAD",051-2288416,Islamabad,Low
CHARAGH ENTERPRISES,"MR.FAROOQ AHMED HOUSE # 8, GROUND FLOOR, NEELUM ROAD, G-9/3, ISLAMABAD",051-4300466,Islamabad,Low
THE SOLUTIONS ENTERPRISES,"MR.AHSAN MANSOOR OFF.#1,2,3 & 4,1ST FLOOR ALI PLAZA, CHINA CHOWK, BLUE AREA, ISLAMABAD",051-2871467,Islamabad,Medium
LAFARGE PAKISTAN CEMENT LTD,"MAJ.GEN.(R) REHMAT KHAN PCC PLAZA, PLOT # 18-B, F-8 MARKAZ, ISLAMABAD",051-2817135,Islamabad,Medium
SAPPHIRE PACIFIC,"MR.ZAFAR HAMEED HASHMI HOUSE # 1184, STREET # 44, I-10/2, ISLAMABAD",051-4448252,Islamabad,High
HYGEIA PHARMACEUTICALS,"ENGR.MAJ.(R)RAJA FARRUKH JAVED 295,INDUSTRIAL TRIANGLE KAHUTA ROAD, ISLAMABAD",051-4490882,Islamabad,High
TAHIR & ALIAN TRADING COMPANY,"MR.TAHIR MASOOD BUILDING # 82, ST.# 26, SECTOR-B, BAHRIA TOWN, ISLAMABAD",051-5705605,Islamabad,Low
KHYBER TOBACCO COMPANY LTD,"MR.SAMI-UR-REHMAN HOUSE # 64, STREET # 25 , F-10/1, ISLAMABAD",051-2102855,Islamabad,Low
GAP ENTERPRISES (PVT) LTD,"MR.GHIYAS ABDULLAH PARACHA HOUSE # 172, STREET #47, F-11/3, ISLAMABAD",051-2111789,Islamabad,Low
SETCO INTERNATIONAL,"MR.ARIF PERVAIZ HOUSE # 177, STREET 48, F-10/4, ISLAMABAD",051-2104829,Islamabad,Low
TARGET CONSULTING SERVICES,"MR.ASLAM QAZI SUITE # 701, 7TH FLOOR, GREEN TRUST TOWER, JINNAH AVENUE, ISLAMABAD",051-2813101,Islamabad,Medium
COMPUTER SUPERMARKET,"MR.NAEEM SIDDIQUI 103-GOLDEN PLAZA, FAZAL-ULHAQ ROAD, BLUE AREA, ISLAMABAD",051-2276952,Islamabad,Medium
JUST FILL (PVT) LTD,"MR. LEE KYOODUK HOUSE # 362, STREET # 11, A BLOCK, PWD, ISLAMABAD",051-5155862,Islamabad,Low
MICROTECH INTERNATIONAL (PVT) LTD,"MR.WASIM ZAFAR HOUSE # 14, STREET 12, F-8/3, ISLAMABAD",051-2252076,Islamabad,Low
SPECTRUM SYSTEMS,"MR.QAISER NADEEM # 4,87-W, ABBAS CENTRE, FAZAL-UL-HAQ HAQ ROAD, BLUE AREA, ISLAMABAD",051-2344613,Islamabad,Medium
ELC SOLUTIONS CORP (PVT) LTD,"MR.EHTSHAM-UL-HAQ HOUSE # 208, STREET 20, G-10/2, ISLAMABAD",051-2104212,Islamabad,Low
HELIOS INFRASTRUCTURE & LOGISTICS PVT.LTD,"MR.MUHAMMAD IRFAN ALI CHAUDHRY HOUSE # 8, STREET # 69, F-8/3, ISLAMABAD",051-2263120,Islamabad,Low
HORUS TRADING CORPORATION,"MR. MUHAMMAD AKBAR OFF.# 16, 2ND FLOOR, GOLDEN PLAZA, G-11 MARKAZ, ISLAMABAD",051-2361646,Islamabad,Medium
MBK TRADING COMPANY (PVT) LTD,"MR.MEHRAB KHAN #1, ATHAL CHOWK, UPPER NEW SARHAD BORING,MURREE RD. BHARA KAU, ISLAMABAD",051-2231716,Islamabad,Low
PAK CHANNEL (PVT) LTD,"MR.MUHAMMAD KHAN NIAZI OFF.# 12, ANIQ PLAZA, MEZZANINE FLOOR, I-8 MARKAZ, ISLAMABAD",051-4862623,Islamabad,Medium
TRANS TECH PAKISTAN,"MR.FIAZ AHMED SUITE 8, GROUND FLOOR, 4,ETC, AGHA KHAN ROAD, F-5/1, ISLAMABAD",051-2870422,Islamabad,Low
AXCESS INTERNATIONAL,"MR.EHSANULLAH TAHIR DOGAR # 2, G.FLOOR,PLOT 25, ALLADIN BUILDING,SAWAN RD.G-11/3, ISLAMABAD",051-2221711,Islamabad,Low
DFA MEDICA INTERNATIONAL (PVT) LTD,"MRS.NASIM CHAUDHRY HOUSE # 25-A, STREET # 52/56, F-6/4,ISLAMABAD",051-8733552,Islamabad,Low
HUNZA APRICOT OIL SOAP COMPANY,"MR.IRFAN KARIM FLAT # 5,2ND FLOOR, MUHAMMAD PLAZA, STREET #40/39, I&T CENTRE, ISLAMABAD",051-2355604,Islamabad,Medium
IQRA INTERNATIONAL (PVT) LTD,"MR.MUHAMMAD IQBAL NAEEM BLOCK # 24, FLAT # 2, PHA G-7/1, ISLAMABAD",051-2202528,Islamabad,Low
A.Q.ENTERPRISES,"MR.ABDUL QUDDUS 6-GROUND FLOOR, DHODY PLAZA, 52-E, BLUE AREA, ISLAMABAD",051-2272834,Islamabad,Medium
ALPHA GARMENTS INDUSTRIES,"MR.FAISAL AKBAR PLOT # 198, STREET # 1,I-10/3, ISLAMABAD",051-4444510,Islamabad,High
APCIL CHEMICAL INDUSTRIES (PVT) LTD,"MR.ASIF JAVAID PLOT # 111, STREET 10, I-9, INDUSTRIAL AREA, ISLAMABAD",051-4432135,Islamabad,High
HARDBONE INTERNATIONAL (PVT) LTD,"MR.ABDUL RAZZAQUE OFF.# 9, 2ND FLOOR, MUJAHID PLAZA,BLUE AREA, ISLAMABAD",051-2803177,Islamabad,Medium
ELAHI COTTON MILLS LTD,"MR.MAHBOOB ELAHI 270, I-9 SECTOR, INDUSTRIAL AREA, ISLAMABAD",051-4433451,Islamabad,High
FAMOUS BRANDS (PVT) LTD,"COL.(R) MUHAMMAD IHSAN PIRACHA HOUSE # 13, STREET # 43, F-7/1, ISLAMABAD",051-2653872,Islamabad,Low
HADEED SAFETY WEAR,"MRS.AMNA MINHAS PLOT # 198, STREET # 1, I-10/3, INDUSTRIAL AREA, ISLAMABAD",051-8356769,Islamabad,High
LEGATO (PVT) LTD,"MR.KHALID SAIFULLAH KHAN 121, STREET # 3, PTV COLONY, SIMLI DAM,BHARA KAU, ISLAMABAD",051-2234212,Islamabad,Low
NAINA IMPEX,"MS.SUMBAL QAISER HOUSE # 198, STREET # 7, RAWAL TOWN, ISLAMABAD",051-2842212,Islamabad,Low
PAKISTAN LI CHENG INTERNATIONAL (PVT) LTD,"MR.LIU PENG HOUSE # 1, STREET # 60, F-7/4, ISLAMABAD",051-2611505,Islamabad,Low
PAK CAPITAL TRADING CO,"MR.MASHHOOD AHSAN GILL APARTMENT # 3-T,BLOCK 2, KARAKORAM HEIGHTS,F-11/1, ISLAMABAD",051-2569291,Islamabad,Low
PROCSUL (PVT) LTD,"MR.HUMAYUN AIJAZ OFF.# 202, 2ND FLOOR, PLOT # 12/M,SQUARE PLAZA, G-8 MARKAZ, ISLAMABAD",051-2576068,Islamabad,Medium
PROGRESSIVE TRADE INTERNATIONAL,"MR.M. ABBAS HASHMI OFF.2,1ST FLOOR,SARDAR MANSION,FAZAL-E-HAQ RD.BLUE AREA, ISLAMABAD",051-2825167,Islamabad,Medium
RAIPUR ASSOCIATES (PVT) LTD,"MR.ZIA KHALIQ AHMED CHUGHTAI HOUSE # 1, DOUBLE ROAD, G11/2, ISLAMABAD",051-2360701,Islamabad,Low
REDCO TEXTILE LIMITED,"MR.AHSAN-UR-REHMAN KHAN REDCO ARCADE, 4TH FLOOR, 78E, JINNAH AVENUE, ISLAMABAD",051-2271362,Islamabad,Medium
