company_name,industry_type,address,phone,city,solar_priority
SHOT GUN AMMUNITION FACTORY,ARMS AND AMMUNITION,"NEAR BUDHA RAILWAY STATION, WAH CANTT., Rawalpindi",051-9314284,Rawalpindi,High
CONTINENTAL BAKING INDUSTRIES,BAKERY PRODUCTS,"20/D, INDUSTRIAL AREA, PSHAWAR ROAD, Rawalpindi","051-4472395, 5474724",Rawalpindi,High
MURREE BREWRY COMPANY LTD. NATIONAL PARK ROAD,BEVERAGE,"P.O. BOX NO.13, Rawalpindi",051-5567041-7,Rawalpindi,High
ASKARI CEMENT CO LTD.,CEMENT,"WAH CANTT, Rawalpindi",051-2520401-2,Rawalpindi,High
WAH NOBLE CHEMICAL LTD. G.T. ROAD WAH CANTT,CHEMICAL,", Rawalpindi",051-4545240-43,Rawalpindi,High
CAPITAL PLYWOOD INDUSTRY,CHIP/STRAW BOARD,"KALLAR SYEDAN, RAWAT ROAD, Rawalpindi","051-4680708-9, 0333-5145285",Rawalpindi,High
PAKWOOD INDUSTRIES,CHIP/STRAW BOARD,"G.T. ROAD, MANDRA, Rawalpindi","051-3592033, 0333-5145285",Rawalpindi,High
SANA CONFECTIONERY,CONFECTIONERY,"D-15-22, MINI INDUSTRIAL ESTATE, GUJJAR KHAN, Rawalpindi",051-3515324-6,Rawalpindi,High
SNAPPIES BABY DIAPERS PLANT,DIAPER PLANT,"PESHAWAR ROAD, Rawalpindi",051-5477253,Rawalpindi,High
A.W.LABORATORIES (PVT) LTD. 53/10 HAIDER ROAD,DRUGS & PHARMACEUTICALS,"SADDAR, Rawalpindi",051-5563384-5,Rawalpindi,High
AMBROSIA PHARMACEUTICALS,DRUGS & PHARMACEUTICALS,"PLOT # 18, STREET NO. S-9, RCCI INDUSTRIAL AREA, RAWAT, Rawalpindi",051-4434757,Rawalpindi,High
BIOSYNTH PHARMA (PVT) LTD.,DRUGS & PHARMACEUTICALS,"334 NEELY CHATERY, LANE NO.5 PESHAWAR ROAD, Rawalpindi",051-5480481,Rawalpindi,High
