companyName,primaryPhone,mobile,telephone,email,city,address,areas,category,certificateNo,validityDate,technology,source
3 Ray Solutions (Private) Limited,0304-8888240,0304-8888240; 0346-2742262,042-34941571 & 73,smsolarpvtltd@gmail.com; info@3raysolutions.com,Karachi,"Colony, Karachi",,C-3,CR/24/117/C-3,21-11-2026,Solar,PPIB C-3 (upto 250 kW)
3 SAT Traders,0300-9753532,0300-9753532; 0323-9013090,,su.sanaullah2001@gmail.com; kw.khan1990@gmail.com,ICT,,ICT & Punjab,C-3,CR/23/130/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Aayems (Private) Limited,0321-5014107,0321-5014107,,ahmed.annus157@gmail.com,ICT,"House 45-G, 2","ICT, Punjab, Sindh & KPK",C-3,CR/24/015/C-3,,Solar,PPIB C-3 (upto 250 kW)
ABK Solar Traders (Private) Limited,"0316-8164569, 0315-2100003","0316-8164569, 0315-2100003; 0334-6068265",,ehsanimpex@gmail.com; abksolartraders@gmail.com,ICT,,ICT & Punjab,C-3,CR/24/207/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Adam Renewable Energy (Private) Limited,0312-2922568,"0312-2922568; 0300-9508525, 0315-9135406","091-2010700, 051-4718225, 2223111",rabiaintl88@hotmail.com; adamenergy111@gmail.com,,,,C-3,CR/24/247/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
AFM Energy (Private) Limited,0345-4362115,"0345-4362115; 0307-5840000, 0330-5845448",,faiz.m9220@gmail.com; info@afmenergy.com.pk,ICT,,ICT & Punjab,C-3,CR/24/112/C-3,15-11-2026,Solar,PPIB C-3 (upto 250 kW)
Akhtar Hussain,"0331-4884244, 03-111-777-681","0331-4884244, 03-111-777-681; 0315-8864004",,info@res.com.pk; tahjee525@gmail.com,ICT,,ICT & Balochistan,C-3,CR/24/064/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Al Kafi Engineering Service LLP,0349-5685184,0349-5685184,021-34988990,nzktraders05@gmail.com; sales@alkafiengineering.com,,,,C-3,CR/24/222/C-3,30-06-2026,Solar,PPIB C-3 (upto 250 kW)
Al-Asr Renewable Energies,0323-2932123,0323-2932123,,alasrenergies@gmail.com,Karachi,"C-3, Railway Society Projects, 5-A, Block 4, Gulshan-e-Iqbal, Karachi., Ext. Larech Colony,","ICT, Punjab & Sindh",C-3,CR/24/012/C-3,28-03-2025,Solar,PPIB C-3 (upto 250 kW)
Aliz International,0320-8855444,0320-8855444; 0322-4001332,"044-4771344; 042-36370758, 36314839",neelumsolarpvtltd@gmail.com; ali@alizpk.com,ICT,,ICT & Punjab,C-3,CR/24/175/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Amica Energy (Private) Limited,0333-8000173,"0333-8000173; 03-111-126422, 0315-2780066",055-3847700,solarvalleypk@gmail.com; asif.iqbal@amicapakistan.com,ICT,,"ICT, Punjab & Sindh",C-3,CR/23/076/C-3,08-02-2026,Solar,PPIB C-3 (upto 250 kW)
Anaya Traders,03062935768,03062935768; 0321-5739186,,solarkoninternational@gmail.com; adnantariq9186@gmail.com,ICT,,ICT & Punjab,C-3,CR/24/225/C-3,28-05-2027,Solar,PPIB C-3 (upto 250 kW)
